driverId,week,hours-logged,miles-logged
87,45,68,0
22,10,50,2200
21,29,58,2200
62,49,54,800
10,44,70,300
47,14,70,100
26,45,56,3500
18,9,56,1600
37,52,75,100
61,46,62,500
89,3,53,3000
15,4,66,300
34,1,79,0
108,21,76,2800
72,24,79,700
55,24,54,1400
20,29,64,200
55,33,79,2300
51,24,59,3400
37,39,50,600
48,4,55,800
84,12,73,1900
14,45,52,3300
35,13,65,2300
62,6,69,1200
70,15,70,1300
73,44,52,1500
108,29,56,1500
25,5,64,3800
76,27,53,500
80,11,53,2100
30,40,79,2200
19,27,77,2100
102,25,77,3000
60,31,75,500
98,12,68,600
98,27,52,3800
19,10,56,1000
62,50,65,3800
11,52,61,1900
29,44,74,2000
20,17,59,4000
81,49,59,2500
11,7,74,3200
109,31,57,3800
23,50,67,2300
43,15,59,1200
69,6,73,2500
47,26,74,2400
61,16,50,800
70,18,54,500
39,52,75,1800
71,43,72,3400
85,27,63,1900
83,29,69,900
65,21,60,900
64,25,77,2000
90,44,66,1600
80,22,51,3400
70,45,58,1700
96,6,59,1400
29,28,73,800
13,29,65,1700
79,20,63,3000
87,18,71,3200
91,26,74,1600
10,17,56,3000
81,16,71,3000
92,48,67,800
67,51,59,600
62,48,56,2200
87,50,53,2500
20,23,59,4000
46,13,53,1400
47,39,67,300
20,18,79,2900
48,33,60,2700
97,50,56,4000
13,29,60,2500
17,39,56,1500
19,29,77,1600
17,6,71,1500
99,52,73,4000
65,42,79,200
85,40,79,1900
46,49,73,2500
89,29,59,300
99,37,60,2400
108,8,59,3700
67,10,72,2300
21,36,73,1000
95,32,71,2800
37,35,78,1300
53,42,53,1700
74,40,75,100
59,6,51,2200
24,19,78,2400
95,40,59,3300
14,38,68,600
15,38,50,3800
49,10,78,3800
14,10,61,100
62,24,80,600
23,20,61,3500
60,16,61,1400
24,10,76,3400
53,15,79,2000
104,26,56,300
105,51,68,1500
102,29,60,2900
83,38,80,1400
70,39,61,1600
83,25,55,2000
33,23,60,800
78,36,75,2300
66,49,71,3800
70,16,52,1000
24,20,66,2600
70,16,71,1600
84,14,70,1600
88,1,63,200
13,4,70,2400
69,2,77,2200
103,43,61,1600
83,27,59,200
103,8,59,2600
65,31,57,1700
109,45,65,1400
104,45,79,0
64,47,57,2000
44,36,72,700
96,44,64,2600
76,11,62,2100
95,31,60,1600
91,26,55,3700
21,22,78,1000
18,11,60,1800
90,41,66,1000
54,26,54,1500
31,4,77,300
62,14,68,2200
47,47,68,900
106,22,75,3100
25,28,75,3100
98,48,60,700
58,3,64,1700
49,19,52,2000
37,5,73,1800
47,3,69,300
39,23,66,2000
60,52,63,2700
39,35,63,800
21,32,53,3700
56,6,73,400
50,19,71,600
85,52,66,1400
69,13,60,500
35,24,50,1200
57,29,59,2400
54,25,63,2400
16,20,66,3200
78,35,65,300
33,31,73,600
60,31,57,1000
47,30,63,2900
82,36,55,2400
108,25,63,2700
27,23,55,0
55,5,53,3600
44,29,72,300
56,5,57,1200
62,8,63,1800
104,20,67,1100
80,15,63,1200
22,15,62,3800
48,18,50,1400
85,40,52,1600
36,42,78,2500
61,22,75,1300
49,31,79,2800
79,40,59,0
60,33,50,400
92,39,67,3200
53,35,61,3200
102,50,69,2200
18,49,57,1700
27,31,74,3300
60,52,62,2000
10,51,56,400
26,37,59,2800
77,42,60,1600
17,25,79,3100
107,8,75,200
97,3,52,1000
98,26,69,2800
79,41,79,800
34,24,74,1900
53,45,68,900
71,35,72,100
84,14,77,3700
42,44,59,3300
43,16,73,800
97,26,74,1600
34,7,70,600
86,40,70,0
69,38,80,3100
73,32,63,1500
76,41,63,3700
57,51,80,3300
105,34,56,1200
85,9,54,500
92,30,77,3000
14,50,63,3800
18,49,61,2300
109,39,74,1800
18,1,56,2100
77,7,79,0
18,44,70,1700
106,22,60,1600
67,14,52,500
98,14,56,700
68,5,57,2900
43,36,54,1400
74,37,64,2500
50,40,51,600
55,6,54,2600
39,36,54,1300
17,49,79,0
78,27,71,300
86,12,73,2100
77,22,54,400
65,47,63,1900
61,34,66,2600
15,21,56,3700
10,3,72,1800
58,27,77,2200
64,50,66,1400
52,22,69,200
32,47,54,1600
44,35,72,2600
102,17,67,1500
107,22,68,1900
72,7,61,200
106,16,66,1000
78,29,69,300
65,29,53,1200
83,44,71,2800
101,50,55,1600
83,52,76,300
47,45,56,100
71,33,52,3100
37,48,69,200
28,10,78,3500
25,6,53,3900
108,39,59,3400
26,17,59,2000
68,41,54,100
69,40,68,2800
45,9,69,1800
89,11,80,1700
18,46,71,3100
42,34,56,3700
71,39,79,3300
36,48,62,1800
89,44,77,2300
16,24,64,3100
87,14,72,2600
76,42,80,2000
35,21,57,2300
76,2,73,600
18,17,58,1700
67,31,76,3500
82,40,66,900
80,52,65,1300
29,41,52,2800
86,33,66,1300
36,14,59,1300
57,20,65,1700
103,50,58,1100
81,8,60,3500
32,22,74,2200
81,25,66,1700
56,29,59,500
15,6,67,2200
52,21,80,700
77,13,61,600
23,12,63,3300
50,28,55,3500
99,1,64,700
63,36,69,1200
12,16,50,4000
53,32,50,2400
70,9,62,3900
37,45,80,1900
21,26,55,3100
37,21,68,2700
65,49,70,3300
12,44,77,2700
36,10,60,1700
42,41,57,4000
52,23,80,3800
74,22,65,2100
23,33,76,100
92,3,80,500
97,13,55,3100
106,51,66,1800
64,13,60,1700
60,32,53,0
31,36,79,2500
70,36,74,800
78,39,74,1800
14,30,52,2200
30,18,77,2800
65,35,60,3900
32,28,70,2800
109,43,77,500
95,41,53,1600
72,29,71,2600
63,6,59,1500
21,22,58,1200
30,11,56,200
71,7,71,900
76,36,60,1400
98,4,71,2000
10,8,58,2800
60,45,79,3300
